AE-VMS,8556000,20,110,40,20,"45,500"
AE-VMS,8556010,25,120,50,25,"76,800"
AE-VMS ライトアングル,8555730,3 - RA,60,8,6,"3,080"
AE-VMS ライトアングル,8555740,4 - RA,60,11,6,"3,580"
AE-VMS ライトアングル,8555750,5 - RA,60,13,6,"3,580"
AE-VMS ライトアングル,8555760,6 - RA,60,13,6,"4,150"
AE-VMS ラジアス,8556050,3  ×   R0.2,60,8,6,"3,500"
AE-VMS ラジアス,8556060,3  ×   R0.5,60,8,6,"3,500"
AE-VMS ラジアス,8556070,4  ×   R0.2,60,11,6,"4,060"
AE-VMS ラジアス,8556080,4  ×   R0.5,60,11,6,"4,060"
AE-VMS ラジアス,8556090,4  ×   R1,60,11,6,"4,060"
AE-VMS ラジアス,8556100,5  ×   R0.2,60,13,6,"4,060"
AE-VMS ラジアス,8556110,5  ×   R0.5,60,13,6,"4,060"
AE-VMS ラジアス,8556120,5  ×   R1,60,13,6,"4,060"
AE-VMS ラジアス,8556130,6  ×   R0.3,60,13,6,"4,730"
AE-VMS ラジアス,8556140,6  ×   R0.5,60,13,6,"4,730"
AE-VMS ラジアス,8556150,6  ×   R1,60,13,6,"4,730"
AE-VMS ラジアス,8556160,8  ×   R0.3,70,19,8,"8,670"
AE-VMS ラジアス,8556170,8  ×   R0.5,70,19,8,"8,670"
AE-VMS ラジアス,8556180,8  ×   R1,70,19,8,"8,670"
AE-VMS ラジアス,8556190,8  ×   R1.5,70,19,8,"8,670"
AE-VMS ラジアス,8556200,8  ×   R2,70,19,8,"8,670"
AE-VMS ラジアス,8556210,10  ×   R0.3,80,22,10,"11,700"
AE-VMS ラジアス,8556220,10  ×   R0.5,80,22,10,"11,700"
AE-VMS ラジアス,8556230,10  ×   R1,80,22,10,"11,700"
AE-VMS ラジアス,8556240,10  ×   R1.5,80,22,10,"11,700"
AE-VMS ラジアス,8556250,10  ×   R2,80,22,10,"11,700"
AE-VMS ラジアス,8556260,10  ×   R3,80,22,10,"11,700"
AE-VMS ラジアス,8556270,12  ×   R0.5,90,26,12,"14,700"
AE-VMS ラジアス,8556280,12  ×   R1,90,26,12,"14,700"
AE-VMS ラジアス,8556290,12  ×   R1.5,90,26,12,"14,700"
AE-VMS ラジアス,8556300,12  ×   R2,90,26,12,"14,700"
AE-VMS ラジアス,8556310,12  ×   R3,90,26,12,"14,700"
AE-VMS ラジアス,8557300,16  ×   R0.5,100,32,16,"37,700"
AE-VMS ラジアス,8557301,16  ×   R1,100,32,,"37,700"
AE-VMS ラジアス,8557302,16  ×   R2,100,32,,"37,700"
AE-VMS ラジアス,8557303,16  ×   R2.5,100,32,,"37,700"
AE-VMS ラジアス,8557304,16  ×   R3,100,32,,"37,700"
AE-VMS ラジアス,8557305,16  ×   R4,100,32,,"37,700"
AE-VMS ラジアス,8557310,20  ×   R0.5,110,40,20,"54,600"
AE-VMS ラジアス,8557311,20  ×   R1,110,40,,"54,600"
AE-VMS ラジアス,8557312,20  ×   R2,110,40,,"54,600"
AE-VMS ラジアス,8557313,20  ×   R2.5,110,40,,"54,600"
AE-VMS ラジアス,8557314,20  ×   R3,110,40,,"54,600"
AE-VMS ラジアス,8557315,20  ×   R4,110,40,,"54,600"
AE-VMS ラジアス,8557316,20  ×   R5,110,40,,"54,600"
AE-VMS ラジアス,8557321,25  ×   R1,120,50,25,"88,300"
AE-VMS ラジアス,8557322,25  ×   R2,120,50,,"88,300"
AE-VMS ラジアス,8557324,25  ×   R3,120,50,,"88,300"
AE-VMS ラジアス,8557325,25  ×   R4,120,50,,"88,300"
AE-VMS ラジアス,8557326,25  ×   R5,120,50,,"88,300"
