UDCLB 2060-1000,R3,10,4.2,5.7,―,60,6,35.580,,,,,
UDCLB 2060-1500,R3,15,4.2,5.7,―,60,6,35.580,,,,,
CBN-LBF 2006-010,R0.3,1,0.48,0.58,15°,50,4,26.600,1.02,1.05,1.08,1.11,1.18
CBN-LBF 2006-015,R0.3,1.5,0.48,0.58,15°,50,4,26.600,1.52,1.57,1.61,1.66,1.76
CBN-LBF 2006-030,R0.3,3,0.48,0.58,15°,50,4,28.400,3.07,3.16,3.26,3.37,3.60
CBN-LBF 2006-040,R0.3,4,0.48,0.58,15°,50,4,28.400,4.10,4.23,4.36,4.50,4.82
CBN-LBF 2006-050,R0.3,5,0.48,0.58,15°,50,4,28.800,5.13,5.29,5.46,5.64,6.05
CBN-LBF 2006-060,R0.3,6,0.48,0.58,15°,50,4,31.600,6.17,6.36,6.56,6.78,7.27
CBN-LBF 2008-020,R0.4,2,0.6,0.78,15°,50,4,26.600,2.04,2.09,2.15,2.21,2.35
CBN-LBF 2008-040,R0.4,4,0.6,0.78,15°,50,4,28.400,4.10,4.22,4.35,4.49,4.80
CBN-LBF 2008-060,R0.4,6,0.6,0.78,15°,50,4,31.100,6.16,6.35,6.55,6.77,7.25
CBN-LBF 2010-015,R0.5,1.5,0.7,0.98,15°,50,4,26.600,1.53,1.57,1.61,1.66,1.76
CBN-LBF 2010-020,R0.5,2,0.7,0.98,15°,50,4,26.600,2.05,2.11,2.17,2.23,2.38
CBN-LBF 2010-025,R0.5,2.5,0.7,0.98,15°,50,4,26.600,2.56,2.63,2.70,2.78,2.96
CBN-LBF 2010-040,R0.5,4,0.7,0.98,15°,50,4,28.400,4.11,4.23,4.35,4.49,4.79
CBN-LBF 2010-050,R0.5,5,0.7,0.98,15°,50,4,28.400,5.14,5.29,5.45,5.63,6.02
CBN-LBF 2010-060,R0.5,6,0.7,0.98,15°,50,4,28.400,6.17,6.36,6.55,6.77,7.24
CBN-LBF 2010-080,R0.5,8,0.7,0.98,15°,50,4,28.800,8.23,8.49,8.76,9.04,9.69
CBN-LBF 2010-100,R0.5,10,0.7,0.98,15°,50,4,29.500,10.30,10.62,10.96,11.32,12.13
CBN-LBF 2012-024,R0.6,2.4,0.8,1.18,15°,50,4,27.700,2.46,2.53,2.60,2.68,2.85
CBN-LBF 2012-030,R0.6,3,0.8,1.18,15°,50,4,27.700,3.08,3.17,3.27,3.37,3.60
CBN-LBF 2012-060,R0.6,6,0.8,1.18,15°,50,4,32.200,6.18,6.38,6.59,6.82,7.33
CBN-LBF 2015-030,R0.75,3,0.9,1.46,15°,50,4,27.700,3.12,3.20,3.29,3.39,3.61
CBN-LBF 2015-040,R0.75,4,0.9,1.46,15°,50,4,27.700,4.15,4.27,4.40,4.54,4.85
CBN-LBF 2015-060,R0.75,6,0.9,1.46,15°,50,4,27.700,6.22,6.41,6.62,6.84,7.34
